dates,cfs
"October 2, 2024",3500000
"October 24, 2024",1300000
"December 4, 2024",5200000
"January 24, 2025",3900000
"March 23, 2025",2400000
"April 17, 2025",3300000
"May 30, 2025",2700000
"July 8, 2025",900000
"July 28, 2025",1800000
"August 30, 2025",1100000
"September 25, 2025",1500000
"April 3, 2026",1800000
"September 15, 2026",2800000
"March 10, 2027",700000
"August 15, 2027",5500000
"February 11, 2028",5700000
"July 23, 2028",3200000
"January 22, 2029",3200000
"July 26, 2029",2300000
"January 30, 2030",5500000
"July 21, 2030",2500000
"December 22, 2030",1100000
"June 1, 2031",4800000
"December 14, 2031",2600000
"May 19, 2032",1800000
"November 27, 2032",2700000
"May 23, 2033",1000000
"December 9, 2033",1200000
"May 11, 2034",5700000
"October 30, 2034",5800000
"April 3, 2035",3700000
"October 19, 2035",800000
"March 17, 2036",1800000
"September 22, 2036",2400000
"April 1, 2037",5000000
"October 12, 2037",500000
"March 15, 2038",700000
"September 1, 2038",1400000
"February 11, 2039",4100000
"August 20, 2039",4500000
"February 8, 2040",4100000
"August 22, 2040",3000000
"January 28, 2041",3500000
"July 10, 2041",2100000
"December 14, 2041",4600000
"May 19, 2042",1500000
"November 29, 2042",4300000
"May 27, 2043",1500000
